fecha;referencia;descripcion;debito;credito;saldo;tipoMovimiento;indicadorCargoAbono;importe
12/09/2022 - 17:15;9569900064744;CARGO POR IGTF                    ;-3200.00;-3200.00;7.232,67;5699;Nota de Débito;-3.200,00
12/09/2022 - 17:15;0329200064744;PAGO A PROVEEDORES B D V          ;-160000.00;-160000.00;10.432,67;6513;Nota de Débito;-160.000,00
12/09/2022 - 16:57;0590554466950;ABO TRASP A OTRAS CTAS CLAVENET   ;150000.00;150000.00;170.432,67;1602;Nota de Crédito;150.000,00
12/09/2022 - 16:21;0590519685941;ABO TRASP A OTRAS CTAS CLAVENET   ;271.96;271.96;20.432,67;1602;Nota de Crédito;271,96
12/09/2022 - 16:11;0329200000001;PAGO A PROVEEDORES B D V          ;1760.00;1760.00;20.160,71;2021;Nota de Crédito;1.760,00
12/09/2022 - 16:06;0590518764604;ABO TRASP A OTRAS CTAS CLAVENET   ;782.80;782.80;18.400,71;1602;Nota de Crédito;782,80
12/09/2022 - 15:52;0590517979293;ABO TRASP A OTRAS CTAS CLAVENET   ;425.49;425.49;17.617,91;1602;Nota de Crédito;425,49
12/09/2022 - 15:49;0590517765504;ABO TRASP A OTRAS CTAS CLAVENET   ;2394.00;2394.00;17.192,42;1602;Nota de Crédito;2.394,00
12/09/2022 - 15:47;5490117641829;ABO TRASP A OTRAS CTAS CLAVENET   ;7805.24;7805.24;14.798,42;1602;Nota de Crédito;7.805,24
12/09/2022 - 15:16;0590515791493;ABO TRASP A OTRAS CTAS CLAVENET   ;512.96;512.96;6.993,18;1602;Nota de Crédito;512,96
12/09/2022 - 09:43;0592399963618;PAGO IMPUESTOS INTERNET           ;-28199.00;-28199.00;6.480,22;7736;Nota de Débito;-28.199,00
12/09/2022 - 09:41;0592399959439;PAGO IMPUESTOS INTERNET           ;-22.13;-22.13;34.679,22;7736;Nota de Débito;-22,13
12/09/2022 - 09:40;0592399957417;PAGO IMPUESTOS INTERNET           ;-134036.25;-134036.25;34.701,35;7736;Nota de Débito;-134.036,25
12/09/2022 - 09:35;0590554441964;ABO TRASP A OTRAS CTAS CLAVENET   ;120000.00;120000.00;168.737,60;1602;Nota de Crédito;120.000,00
12/09/2022 - 09:29;0592399937101;PAGO IMPUESTOS INTERNET           ;-42281.86;-42281.86;48.737,60;7736;Nota de Débito;-42.281,86
11/09/2022 - 07:14;5490143650623;ABO TRASP A OTRAS CTAS CLAVENET   ;1212.96;1212.96;91.019,46;1602;Nota de Crédito;1.212,96
10/09/2022 - 11:44;0590573489509;ABO TRASP A OTRAS CTAS CLAVENET   ;1139.21;1139.21;89.806,50;1602;Nota de Crédito;1.139,21
10/09/2022 - 08:50;5490163056012;ABO TRASP A OTRAS CTAS CLAVENET   ;114.20;114.20;88.667,29;1602;Nota de Crédito;114,20
09/09/2022 - 17:15;9569954355921;CARGO POR IGTF                    ;-34.65;-34.65;88.553,09;5699;Nota de Débito;-34,65
09/09/2022 - 17:15;0590554355921;TRASPASO OTRAS CTAS BDV EN LINEA  ;-1732.50;-1732.50;88.587,74;5602;Nota de Débito;-1.732,50
09/09/2022 - 16:22;9569954353541;CARGO POR IGTF                    ;-4.08;-4.08;90.320,24;5699;Nota de Débito;-4,08
09/09/2022 - 16:22;0590554353541;TRASPASO OTRAS CTAS BDV EN LINEA  ;-203.75;-203.75;90.324,32;5602;Nota de Débito;-203,75
09/09/2022 - 16:21;9569954353472;CARGO POR IGTF                    ;-1.80;-1.80;90.528,07;5699;Nota de Débito;-1,80
09/09/2022 - 16:21;0590554353472;TRASPASO OTRAS CTAS BDV EN LINEA  ;-90.00;-90.00;90.529,87;5602;Nota de Débito;-90,00
09/09/2022 - 16:19;9569954353415;CARGO POR IGTF                    ;-1.80;-1.80;90.619,87;5699;Nota de Débito;-1,80
09/09/2022 - 16:19;0590554353415;TRASPASO OTRAS CTAS BDV EN LINEA  ;-90.00;-90.00;90.621,67;5602;Nota de Débito;-90,00
09/09/2022 - 15:59;9569954352450;CARGO POR IGTF                    ;-7.85;-7.85;90.711,67;5699;Nota de Débito;-7,85
09/09/2022 - 15:59;0590554352450;TRASPASO OTRAS CTAS BDV EN LINEA  ;-392.31;-392.31;90.719,52;5602;Nota de Débito;-392,31
09/09/2022 - 15:58;9569954352380;CARGO POR IGTF                    ;-4.38;-4.38;91.111,83;5699;Nota de Débito;-4,38
09/09/2022 - 15:58;0590554352380;TRASPASO OTRAS CTAS BDV EN LINEA  ;-219.15;-219.15;91.116,21;5602;Nota de Débito;-219,15
09/09/2022 - 15:55;9569954352245;CARGO POR IGTF                    ;-4.38;-4.38;91.335,36;5699;Nota de Débito;-4,38
09/09/2022 - 15:55;0590554352245;TRASPASO OTRAS CTAS BDV EN LINEA  ;-219.15;-219.15;91.339,74;5602;Nota de Débito;-219,15
09/09/2022 - 15:50;9569954351997;CARGO POR IGTF                    ;-4.89;-4.89;91.558,89;5699;Nota de Débito;-4,89
09/09/2022 - 15:50;0590554351997;TRASPASO OTRAS CTAS BDV EN LINEA  ;-244.50;-244.50;91.563,78;5602;Nota de Débito;-244,50
09/09/2022 - 15:49;9569954351953;CARGO POR IGTF                    ;-13.04;-13.04;91.808,28;5699;Nota de Débito;-13,04
09/09/2022 - 15:49;0590554351953;TRASPASO OTRAS CTAS BDV EN LINEA  ;-652.00;-652.00;91.821,32;5602;Nota de Débito;-652,00
09/09/2022 - 15:48;9569954351901;CARGO POR IGTF                    ;-9.78;-9.78;92.473,32;5699;Nota de Débito;-9,78
09/09/2022 - 15:48;0590554351901;TRASPASO OTRAS CTAS BDV EN LINEA  ;-489.00;-489.00;92.483,10;5602;Nota de Débito;-489,00
09/09/2022 - 15:47;9569954351865;CARGO POR IGTF                    ;-16.30;-16.30;92.972,10;5699;Nota de Débito;-16,30
09/09/2022 - 15:47;0590554351865;TRASPASO OTRAS CTAS BDV EN LINEA  ;-815.00;-815.00;92.988,40;5602;Nota de Débito;-815,00
09/09/2022 - 07:30;5490171805094;ABO TRASP A OTRAS CTAS CLAVENET   ;280.00;280.00;93.803,40;1602;Nota de Crédito;280,00
08/09/2022 - 17:52;0590579562846;ABO TRASP A OTRAS CTAS CLAVENET   ;449.00;449.00;93.523,40;1602;Nota de Crédito;449,00
08/09/2022 - 17:25;0590554302954;ABO TRASP A OTRAS CTAS CLAVENET   ;1931.00;1931.00;93.074,40;1602;Nota de Crédito;1.931,00
08/09/2022 - 16:15;0329200000001;PAGO A PROVEEDORES B D V          ;2545.05;2545.05;91.143,40;2021;Nota de Crédito;2.545,05
08/09/2022 - 12:40;5490160808208;ABO TRASP A OTRAS CTAS CLAVENET   ;1000.00;1000.00;88.598,35;1602;Nota de Crédito;1.000,00
08/09/2022 - 11:21;0590599281643;ABO TRASP A OTRAS CTAS CLAVENET   ;0.01;0.01;87.598,35;1602;Nota de Crédito;0,01
07/09/2022 - 15:26;0590584419514;ABO TRASP A OTRAS CTAS CLAVENET   ;29.00;29.00;87.598,34;1602;Nota de Crédito;29,00
07/09/2022 - 14:22;9569954247794;CARGO POR IGTF                    ;-8.92;-8.92;87.569,34;5699;Nota de Débito;-8,92
07/09/2022 - 14:22;0590554247794;TRASPASO OTRAS CTAS BDV EN LINEA  ;-446.17;-446.17;87.578,26;5602;Nota de Débito;-446,17
07/09/2022 - 13:00;0676200057181;COMISION PAGO A PROVEEDORES       ;-0.01;-0.01;88.024,43;7931;Nota de Débito;-0,01
07/09/2022 - 13:00;0676200057158;COMISION PAGO A PROVEEDORES       ;-0.01;-0.01;88.024,44;7931;Nota de Débito;-0,01
07/09/2022 - 13:00;9569900057155;CARGO POR IGTF                    ;-0.13;-0.13;88.024,45;5699;Nota de Débito;-0,13
07/09/2022 - 13:00;0676200057155;COMISION PAGO A PROVEEDORES       ;-6.45;-6.45;88.024,58;7931;Nota de Débito;-6,45
07/09/2022 - 13:00;0676200057174;COMISION PAGO A PROVEEDORES       ;-0.17;-0.17;88.031,03;7931;Nota de Débito;-0,17
07/09/2022 - 13:00;9569900057157;CARGO POR IGTF                    ;-0.33;-0.33;88.031,20;5699;Nota de Débito;-0,33
07/09/2022 - 13:00;0676200057157;COMISION PAGO A PROVEEDORES       ;-16.37;-16.37;88.031,53;7931;Nota de Débito;-16,37
07/09/2022 - 13:00;9569900057164;CARGO POR IGTF                    ;-0.04;-0.04;88.047,90;5699;Nota de Débito;-0,04
07/09/2022 - 13:00;0676200057164;COMISION PAGO A PROVEEDORES       ;-2.18;-2.18;88.047,94;7931;Nota de Débito;-2,18
07/09/2022 - 13:00;9569900057163;CARGO POR IGTF                    ;-0.02;-0.02;88.050,12;5699;Nota de Débito;-0,02
07/09/2022 - 13:00;0676200057163;COMISION PAGO A PROVEEDORES       ;-1.12;-1.12;88.050,14;7931;Nota de Débito;-1,12
07/09/2022 - 13:00;9569900057160;CARGO POR IGTF                    ;-0.19;-0.19;88.051,26;5699;Nota de Débito;-0,19
07/09/2022 - 13:00;0676200057160;COMISION PAGO A PROVEEDORES       ;-9.73;-9.73;88.051,45;7931;Nota de Débito;-9,73
07/09/2022 - 13:00;9569900057177;CARGO POR IGTF                    ;-0.25;-0.25;88.061,18;5699;Nota de Débito;-0,25
07/09/2022 - 13:00;0676200057177;COMISION PAGO A PROVEEDORES       ;-12.31;-12.31;88.061,43;7931;Nota de Débito;-12,31
07/09/2022 - 13:00;9569900057168;CARGO POR IGTF                    ;-0.87;-0.87;88.073,74;5699;Nota de Débito;-0,87
07/09/2022 - 13:00;0676200057168;COMISION PAGO A PROVEEDORES       ;-43.69;-43.69;88.074,61;7931;Nota de Débito;-43,69
07/09/2022 - 12:57;9569900057155;CARGO POR IGTF                    ;-51.64;-51.64;88.118,30;5699;Nota de Débito;-51,64
07/09/2022 - 12:57;0329200057155;PAGO A PROVEEDORES B D V          ;-2582.03;-2582.03;88.169,94;6513;Nota de Débito;-2.582,03
07/09/2022 - 12:57;9569900057158;CARGO POR IGTF                    ;-0.01;-0.01;90.751,97;5699;Nota de Débito;-0,01
07/09/2022 - 12:57;0329200057158;PAGO A PROVEEDORES B D V          ;-0.38;-0.38;90.751,98;6513;Nota de Débito;-0,38
07/09/2022 - 12:57;9569900057181;CARGO POR IGTF                    ;-0.01;-0.01;90.752,36;5699;Nota de Débito;-0,01
07/09/2022 - 12:57;0329200057181;PAGO A PROVEEDORES B D V          ;-0.38;-0.38;90.752,37;6513;Nota de Débito;-0,38
07/09/2022 - 12:57;9569900057163;CARGO POR IGTF                    ;-8.98;-8.98;90.752,75;5699;Nota de Débito;-8,98
